"id","uid","date","Intention to Use 1","Perceived Usefulness 4","Perceived Ease of Use 2","Trust","Sex","Age","Aviophobia","Driving Frequency","Playing Hours","VR Playing Frequency"
"1","1234567890qwertyuiop","2019-04-23 13:25:43","100","0","50","","Keine Angabe","50","0","0","60","mehr als 10 mal"
"2","1234567890qwertyuiop","2019-04-23 14:13:16","100","52","53","","Intersex","43","1","47","60","unter 10"
"3","3b90576c-0c96-46ba-b07a-9b3c8fc6a5c0","2019-04-23 18:43:07","100","51","49","","Intersex","43","0","0","60","unter 10"
"4","3b90576c-0c96-46ba-b07a-9b3c8fc6a5c5","2019-04-24 18:35:22","74","100","91","","Intersex","34","0","17","45","mehr als 10 mal"
"5","3b90576c-0c96-46ba-b07a-9b3c8fc6a5c0","2019-04-24 18:45:33","100","18","19","","Keine Angabe","0","1","0","0","Ein mal"
"6","66a8e6c1a1f64b1ba2d17d275ebd3c16","2019-04-26 12:35:46","77","18","68","","Intersex","98","1","0","15","mehr als 10 mal"
"7","6c0a6c4add0e4ec8b100e6c2532ee023","2019-04-29 12:26:12","66","83","32","","Intersex","22","0","0","37","mehr als 10 mal"
"8","f88488a1aa40424b94e8588b7ed9c176","2019-04-29 12:40:48","39","56","80","","Weiblich","63","0","27","0","Noch nie"
"9","b1bc0d0cd4a04e90ac7c3bb934fda45c","2019-04-29 16:59:22","70","65","67","","Intersex","22","0","50","22","mehr als 10 mal"
"10","e5b706acbd784ea5803f143a22e6224f","2019-04-29 17:00:35","42","60","25","","Keine Angabe","32","1","49","7","Ein mal"
"11","485cbc8e0bda4964bdc4a405c763a1e2","2019-04-29 17:24:38","100","87","89","","Mänlich","10","0","0","0","mehr als 10 mal"
"12","809a934bb0e4424f97be0755272ffdcf","2019-04-29 18:35:33","100","100","100","","Mänlich","10","1","65","60","mehr als 10 mal"
"13","2bbdf5a6d1e44f1bbd4194ca6ad52dde","2019-04-29 18:39:26","100","100","100","","Mänlich","72","1","65","0","Noch nie"
"14","aa95f25777bf44648333465c01b4c3a1","2019-04-29 18:48:40","0","0","0","","Keine Angabe","99","1","0","0","Noch nie"
"15","2ddafdfeff554d7a906477382892f3db","2019-04-30 14:59:37","65","100","100","","Weiblich","24","0","0","12","mehr als 10 mal"
"16","2ddafdfeff554d7a906477382892f3db","2019-04-30 19:57:19","90","0","78","","Keine Angabe","33","0","0","37","mehr als 10 mal"
"17","b0673adb42b94a8893857634cd2ae46a","2019-05-02 12:02:57","98","94","52","","Weiblich","22","0","4","2","Ein mal"
"18","c7e80c5e8a0543acadea31fefad3a1c8","2019-05-02 12:04:27","33","37","70","","Weiblich","19","0","1","0","unter 10"
"19","8548af974cc24fe2849e755ce0d48bf7","2019-05-02 15:27:05","64","79","83","","Keine Angabe","33","0","44","21","mehr als 10 mal"
"20","8548af974cc24fe2849e755ce0d48bf7","2019-05-02 15:28:29","76","69","72","","Keine Angabe","22","0","0","0","mehr als 10 mal"
"21","3b90576c-0c96-46ba-b07a-9b3c8fc6a5c0","2019-05-02 18:06:25","59","83","82","","Intersex","56","0","0","60","unter 10"
"22","3b90576c-0c96-46ba-b07a-9b3c8fc6a5c5","2019-05-02 18:48:49","83","91","81","","Intersex","33","0","65","60","unter 10"
"23","e5ab6183279d4a5bbe0accfab2d1d3a8","2019-05-08 11:33:32","65","29","84","","Intersex","22","0","44","21","mehr als 10 mal"
"24","e5ab6183279d4a5bbe0accfab2d1d3a8","2019-05-08 11:38:11","74","33","74","","Keine Angabe","22","0","0","41","mehr als 10 mal"
"25","e5ab6183279d4a5bbe0accfab2d1d3a8","2019-05-08 11:41:54","21","38","69","","Weiblich","20","0","0","0","Ein mal"
"26","e5ab6183279d4a5bbe0accfab2d1d3a8","2019-05-08 11:46:33","66","5","15","","Mänlich","51","0","35","0","Ein mal"
"27","38e75c075efc40bba2bc03cfdd20150c","2019-05-08 19:51:22","81","78","71","","Mänlich","25","0","24","11","mehr als 10 mal"
"28","2df6a3fa8d3b4a3298aeeb10687f8df4","2019-05-08 22:14:01","73","74","66","","Intersex","55","0","0","60","mehr als 10 mal"
"29","e146d94cdeb54eb5ba0e575f2f86f59b","2019-05-09 16:18:08","67","70","23","","Intersex","22","0","0","0","unter 10"
"30","10c30561d9fb4f40bd4b95da3264f421","2019-05-09 19:01:08","75","79","81","","Intersex","52","0","0","48","unter 10"
"31","b53e20915934491ca3c08acd962a4072","2019-05-10 09:56:09","64","63","65","","Keine Angabe","55","1","55","19","Noch nie"
"32","c31505b97a764705abc8a4540dd9fade","2019-05-10 12:50:34","62","84","22","","Keine Angabe","55","1","22","12","mehr als 10 mal"
"33","fbd452b7a0684793a7485e6127b6e7d2","2019-05-10 12:59:15","96","18","64","","Mänlich","29","0","90","25","mehr als 10 mal"
"34","c885a0afcecc47c6a6484e7d2412356f","2019-05-10 13:03:02","59","28","82","","Intersex","88","1","0","22","22"
"35","21ab9a17fbb14fdf89d7311b88662de8","2019-05-10 13:12:44","88","86","89","","Intersex","12","0","0","32","unter 10"
"36","38a95037a61f4da4b5005161ae76c1dd","2019-05-10 13:33:10","80","89","88","","Keine Angabe","22","0","0","56","mehr als 10 mal"
"37","233c6dfa5aa74fc5bb178300b8f68230","2019-05-10 13:57:46","100","100","100","","Mänlich","37","0","19","2","mehr als 10 mal"
"38","2ab3a66c142049c9ae09769c44f89af9","2019-05-13 13:16:05","76","100","77","","Mänlich","28","0","11","2","mehr als 10 mal"
"39","8598a83e2af441b8bcd0ae5d84beb875","2019-05-14 15:54:53","100","0","100","","männlich","30","0","5","10","Ein mal"
"40","42bac596059749b5b8e8e83ae61de9b4","2019-05-14 15:58:49","50","34","83","","weiblich","47","0","30","0","Ein mal"
"41","586c107173344c59aa4f71e3573233f0","2019-05-14 15:59:00","2","3","1","","weiblich","37","0","0","0","mehr als 10 mal"
"42","9cdd85098b0b4ad5ab2282a5ac371a5e","2019-05-14 16:02:09","19","21","50","","weiblich","40","0","22","0","Noch nie"
"43","ff846d92c7e6471183595bd2678f29f6","2019-05-14 16:40:20","0","0","50","","weiblich","40","0","22","2","mehr als 10 mal"
"44","008458d8209e4ba2bbfe7432f9417ec7","2019-05-14 17:30:40","71","81","81","","männlich","44","0","15","0","mehr als 10 mal"
"45","b28f765180294426997226c0ef936954","2019-05-14 17:40:51","100","0","100","","weiblich","27","1","8","0","Noch nie"
"46","12288fb5ac564eca9367edae8bbe066f","2019-05-14 17:48:42","74","77","74","","männlich","45","0","25","0","mehr als 10 mal"
"47","14f9490a478e4a09b85b33c323515804","2019-05-14 17:49:51","50","50","50","","weiblich","15","0","4","3","Ein mal"
"48","7c3f6555e2144056a8bb7590bdc271fa","2019-05-14 18:08:39","50","50","89","","weiblich","51","0","30","0","Ein mal"
"49","fa1b985dd13347d4a37d6567a6a6798c","2019-05-14 18:12:50","100","91","66","","männlich","29","0","10","20","unter 10"
"50","16049a1fdd574377bbd9c7510ae19c13","2019-05-14 18:16:53","100","100","100","","männlich","30","0","1","0","unter 10"
"51","0b6062063c264605b2fcc8deb209f18d","2019-05-14 18:53:02","84","64","86","","weiblich","35","0","10","0","unter 10"
"52","30c621f451f642d1bfa3dd2ccd7ede49","2019-05-14 18:56:26","91","91","91","","weiblich","38","1","18","0","unter 10"
"53","58858d6b59044cc4b68b46c1cfb71da8","2019-05-14 18:58:14","70","75","34","","männlich","31","0","15","1","mehr als 10 mal"
"54","b7440215a1954f798aa15292c552c0cc","2019-05-14 19:01:50","69","62","80","","männlich","29","0","10","0","Noch nie"
"55","38696a440c7240baad647472681b897d","2019-05-14 19:27:04","94","32","92","","weiblich","43","0","23","0","Ein mal"
"56","c997a243a7564834bd68a2bb54b3055d","2019-05-14 19:43:45","87","93","32","","männlich","21","0","3","2","unter 10"
"57","364efc27b4764e42a802dc3ec5cca913","2019-05-14 19:46:34","67","31","23","","weiblich","30","0","12","0","unter 10"
"58","c63ed49c77d64acbb43a553c313d4f1d","2019-05-14 19:46:57","0","26","68","","weiblich","40","0","20","0","Ein mal"
"59","c4ae90ae44b842878633885c0db3a805","2019-05-15 09:17:12","87","97","95","","männlich","16","0","0","0","unter 10"
"60","74d4555fc7204857b695b963bb022ec3","2019-05-15 09:34:04","28","83","94","","männlich","17","0","0","1","Noch nie"
"61","b0fa51e40579484691ca6e0ece5eb702","2019-05-15 09:36:10","63","34","89","","männlich","16","0","0","1","Ein mal"
"62","4622de6229ba41e493ee51dcaaa56cb7","2019-05-15 09:53:50","75","27","100","","männlich","17","0","0","2","mehr als 10 mal"
"63","c07588426e744bcc9a85ad1ff7e54e1e","2019-05-15 10:02:01","82","0","100","","weiblich","16","0","0","1","unter 10"
"64","e8c5ff0419db478694253c881ac1a1d1","2019-05-15 10:04:55","67","56","100","","weiblich","16","0","0","1","unter 10"
"65","af42a3d6b2004cb482f59ff9537d2c71","2019-05-15 10:07:14","64","19","68","","männlich","15","0","0","0","Ein mal"
"66","c06d4ed93dfd4a2d93090d73c9decd84","2019-05-15 10:08:32","77","75","100","","männlich","17","0","0","3","Noch nie"
"67","729ad65643dd48e48854c52ad8582830","2019-05-15 10:13:58","50","80","20","","keine Angabe","17","0","0","30","Ein mal"
"68","e9525e44daad42b995b8bc7756d898ed","2019-05-15 10:15:07","60","0","90","","keine Angabe","17","0","0","8","Noch nie"
"69","51f7490c46574c56a6e02edd4c3c11a0","2019-05-15 10:40:29","76","25","77","","männlich","66","0","48","2","Noch nie"
"70","60ba54e66c1148a18845c4165e69577c","2019-05-15 10:50:39","31","33","82","","männlich","21","0","4","20","unter 10"
"71","828b7ad1ef0e4bb3b52d9498986a8467","2019-05-15 10:54:08","100","100","80","","männlich","67","0","38","10","mehr als 10 mal"
"72","c5a389224e09431094b9a9a9bfd650ce","2019-05-15 11:21:31","50","21","50","","intersex","90","0","0","5","unter 10"
"73","8fd9e9283b9349509f8b2550a0de81bf","2019-05-15 11:28:04","100","100","100","","männlich","13","0","0","1","mehr als 10 mal"
"74","8684d8bc021147f8b7c553350675ecf1","2019-05-15 11:39:38","50","20","50","","männlich","14","0","0","7","unter 10"
"75","ff760b6984f349d5b9d4cb65e0d52674","2019-05-15 11:43:30","0","0","7","","intersex","56","0","30","0","Noch nie"
"76","560dcf2551104eb389f7e44c5b5da0a6","2019-05-15 11:43:46","0","0","70","","weiblich","40","0","20","0","Ein mal"
"77","75f6d368fa33408eaeae695ff41a760b","2019-05-15 15:38:11","50","50","0","","männlich","32","0","14","0","unter 10"
"78","d96c0c9e45a44466ad8d4e1775d0d262","2019-05-15 15:54:08","20","2","50","","weiblich","54","0","30","0","Noch nie"
"79","b8da24d5e9aa4b5f9430612ed6a7eaaf","2019-05-15 16:32:22","100","100","90","","männlich","53","0","43","1","Ein mal"
"80","3b0e12c1efe444959e5e2b1b016e38ad","2019-05-15 17:05:04","28","64","25","","weiblich","42","0","20","0","unter 10"
"81","ed22be7e7d264c719e661562fab0c927","2019-05-15 17:42:17","65","61","70","","weiblich","24","0","7","0","Noch nie"
"82","320e57920da84e039c4ab62ccf19de6d","2019-05-15 17:49:52","100","80","81","","männlich","36","1","15","30","mehr als 10 mal"
"83","2bd4da61824e43e4850e463a0213edea","2019-05-15 17:53:25","30","15","35","","weiblich","28","0","8","0","unter 10"
"84","206973e6e2054e548199e7d5452950cc","2019-05-15 17:55:25","50","50","100","","männlich","46","0","28","0","Noch nie"
"85","755d125dd45d441f8be9a61a44e1f103","2019-05-15 17:57:49","50","55","50","","weiblich","11","1","0","0","Noch nie"
"86","05a4e672b9304dbb8b4aab2775834de9","2019-05-15 18:13:47","50","78","82","","weiblich","39","0","20","0","Noch nie"
"87","2dbc75f500024f96b4f4fa462fd58210","2019-05-15 18:23:43","75","50","32","","weiblich","70","1","50","0","Noch nie"
"88","18881d3ec46e4a34bf3d1ff80de5109a","2019-05-16 09:13:04","100","100","100","","männlich","50","0","4","0","mehr als 10 mal"
"89","18881d3ec46e4a34bf3d1ff80de5109a","2019-05-16 09:14:03","100","100","80","","männlich","10","0","0","1","mehr als 10 mal"
"90","c03943455be84e538c0407a38493bdf9","2019-05-16 09:19:17","88","60","50","","keine Angabe","10","0","0","1","mehr als 10 mal"
"91","f5a58da8a35b4c2a863ae7aacc90e341","2019-05-16 09:31:44","50","27","99","","weiblich","12","1","0","25","Ein mal"
"92","649ac30a570642048675ea0d6a57edf7","2019-05-16 09:36:48","15","10","20","","männlich","11","0","0","5","Noch nie"
"93","5e8629aff5dd4840971e0c4cd0ff88cc","2019-05-16 09:36:51","67","22","100","","weiblich","11","0","0","2","Ein mal"
"94","ee0b9b2ae9854d8c91dbb9d64cbdbd58","2019-05-16 09:39:52","100","7","100","","männlich","99","1","99","65","Noch nie"
"95","c2f38218f14d499ba2b141b920d12edd","2019-05-16 09:40:51","0","50","0","","intersex","5","1","0","89","Ein mal"
"96","3bc71c04d09040a2825e7eecd47f3eff","2019-05-16 09:42:11","50","33","68","","weiblich","11","0","0","2","Ein mal"
"97","53c9ed8c361c4cc4a776dbf8155cf5e0","2019-05-16 09:45:12","0","24","0","","intersex","99","1","99","99","Noch nie"
"98","32756ff0fe8f449a8cd17e2dfd54c1ad","2019-05-16 09:46:04","100","26","100","","männlich","1","0","0","20","mehr als 10 mal"
"99","c0dc2be966224299a2cbd4afe2a7a26f","2019-05-16 09:47:26","0","0","0","","intersex","99","1","99","99","Noch nie"
"100","c625d28b0a2d45eeaa5532a9370c6e67","2019-05-16 09:48:41","0","0","0","","intersex","99","1","99","99","Noch nie"
"101","90217d49cedb4da492e807e30e89137c","2019-05-16 09:49:51","100","100","100","","keine Angabe","0","1","0","0","mehr als 10 mal"
"102","4f5690f6fe624e31b0a0e99d5f9c4450","2019-05-16 09:51:43","100","100","50","","intersex","98","0","98","1","mehr als 10 mal"
"103","8db729b2ef8c4a8693015b4c600aebfe","2019-05-16 09:52:03","0","0","0","","intersex","0","1","99","99","Noch nie"
"104","d7683283f0024df5b4f9b4855b29089e","2019-05-16 09:54:43","0","0","0","","keine Angabe","0","0","99","99","Ein mal"
"105","0789bd6d21d14d54bb9d974524fa1bf6","2019-05-16 09:54:55","100","100","100","","intersex","99","0","99","99","Ein mal"
"106","54171fccc5b3458f947b73871217128f","2019-05-16 09:55:51","0","0","0","","intersex","0","1","99","99","Noch nie"
"107","9901ca8064514ad596ce6290ada06724","2019-05-16 10:01:35","50","50","50","","männlich","10","0","0","0","unter 10"
"108","af6d9629229c4482bf24f85f9afd3919","2019-05-16 10:04:00","53","50","79","","weiblich","12","1","0","25","mehr als 10 mal"
"109","9d37908183e84199806aaf4c8824643d","2019-05-16 10:04:16","100","100","100","","weiblich","11","0","11","25","mehr als 10 mal"
