,Buildings,Dynamic Cars,Dynamic Pedestrians,Inside Car,Nature,Roads,Static Cars,Static Pedestrians,Street Objects,Traffic Lights,Traffic Signs
4f583872ffed48249874b00f3d389cfc,23,3,2,3,8,20,0,0,5,7,0
33d68ad55ef544fab9fd08108e3913ca,0,2,1,42,1,31,0,0,1,2,0
8598a83e2af441b8bcd0ae5d84beb875,24,0,0,2,3,0,0,0,1,7,0
37d7e67934974217830bb429bba7fd76,27,2,2,10,11,4,1,0,6,7,0
42bac596059749b5b8e8e83ae61de9b4,41,0,0,2,14,0,0,0,5,9,0
586c107173344c59aa4f71e3573233f0,27,0,0,8,5,2,0,0,0,6,0
9cdd85098b0b4ad5ab2282a5ac371a5e,37,0,0,4,10,2,0,0,6,4,0
5cea15f12a31476ca95089cf4a435a6a,21,0,0,0,4,0,0,0,3,6,0
ff846d92c7e6471183595bd2678f29f6,30,1,1,2,9,2,0,0,6,5,0
14f9490a478e4a09b85b33c323515804,30,0,0,0,12,0,0,0,4,7,0
008458d8209e4ba2bbfe7432f9417ec7,30,0,0,12,10,2,2,0,3,5,1
75c5fb9b583c461a8e84e6d62cbab280,15,3,1,20,8,20,0,0,2,5,2
fd57e4f341a64e8ea0b5193923169ece,16,0,0,28,5,14,0,0,5,3,0
b28f765180294426997226c0ef936954,23,3,0,9,8,3,0,0,3,7,0
12288fb5ac564eca9367edae8bbe066f,44,0,1,4,9,4,0,0,1,7,0
1b9ddb310f6c40508da98f45915077a9,36,0,0,4,8,6,0,0,5,6,0
8ccf322ad1ba46da81457e8eabade2a0,23,0,0,8,3,0,0,0,0,5,0
b12bec2506254c57be19d7a62c9d886e,41,0,0,9,10,4,0,0,8,6,0
83f496a6e1374e07b2e5d411c313856e,9,0,2,0,0,16,0,0,0,5,0
7c3f6555e2144056a8bb7590bdc271fa,26,1,1,13,9,14,0,0,3,7,0
0f04f15432bb4504890662adf9e4f4d0,48,1,1,7,6,3,0,0,2,6,0
fa1b985dd13347d4a37d6567a6a6798c,19,1,0,17,3,18,0,0,5,5,0
639b1a76dc004182b787898eac230e45,35,2,1,11,10,4,0,0,8,10,0
16049a1fdd574377bbd9c7510ae19c13,33,0,0,10,11,3,0,0,5,8,0
c2bb7c37f7f942c68e886a8735bae97c,41,0,0,13,7,7,1,0,6,5,0
f50bf9195655423bb0424565b9a55c93,39,0,0,8,15,0,0,0,6,8,0
567381bf521c4f61b2d50ace775f900f,26,0,1,11,6,12,0,0,6,6,0
ff377357d13f4923bb342a00536ae90c,32,0,0,9,18,7,0,0,3,3,0
0b6062063c264605b2fcc8deb209f18d,32,0,0,18,11,2,0,0,2,5,0
30c621f451f642d1bfa3dd2ccd7ede49,25,0,0,5,7,0,0,0,0,9,1
5e75d85f5d5b46f39776e61ad69de1e3,29,0,2,13,12,3,0,0,6,9,0
90ef7c99a897434e96a56e42912a86a8,6,1,1,20,0,22,0,0,2,4,0
58858d6b59044cc4b68b46c1cfb71da8,41,2,0,8,10,8,0,0,4,7,0
b7440215a1954f798aa15292c552c0cc,24,3,4,6,10,3,0,0,4,6,1
cedcc36515ee436da5e9410ca04ac7db,36,0,1,0,11,0,0,0,6,6,0
7ab4c31b2ca542fab6c2d6171d3ae2bc,32,0,0,2,13,0,0,0,4,6,0
f90a2258816e4e1d868436f29ce8f311,28,1,0,16,9,1,0,0,0,6,3
7a10f4f520c5468190f3b19b77b2034f,26,0,0,10,11,1,0,0,1,5,0
2f316c49d3474f0ab724a1e43fe21bdf,42,3,1,10,3,1,0,0,1,7,0
38696a440c7240baad647472681b897d,45,0,0,13,8,0,0,0,1,7,0
eecfe5daeb9c4be59e0eccebb4f8352e,28,3,1,6,11,6,0,0,2,5,0
c997a243a7564834bd68a2bb54b3055d,19,1,0,14,10,10,0,0,2,4,0
364efc27b4764e42a802dc3ec5cca913,34,0,0,9,7,2,0,0,5,7,1
c63ed49c77d64acbb43a553c313d4f1d,36,0,1,0,7,0,0,0,3,6,0
c4ae90ae44b842878633885c0db3a805,0,1,0,41,0,17,0,0,0,3,0
f1e8b6b1f0d646a6894b8cbabad60dca,29,0,0,6,6,0,0,0,6,6,0
ef8fd2c4d8114418bc2114044c69e3cf,13,0,0,19,0,28,0,0,2,7,0
1fb630b190a249b09a84b20b82e1e97f,19,3,4,29,1,21,0,0,2,5,2
5632dc407d39490f816f1017308ce1ee,27,0,0,13,5,5,0,0,2,3,0
3ba0383801034d02b268f4fd80a50e25,3,0,0,32,0,26,0,0,2,2,0
74d4555fc7204857b695b963bb022ec3,33,0,1,5,13,5,0,1,7,6,0
b0fa51e40579484691ca6e0ece5eb702,11,0,0,18,10,16,0,0,2,4,0
83f78e11b2d34ec1adaffd7c56b8e24a,3,0,0,46,4,17,0,0,3,7,1
9e1340fc23154438ac7f21291868982b,2,1,0,56,2,27,0,0,0,3,0
112e2d5e60914aac90ef77a549fd688d,2,0,0,42,1,23,0,0,0,2,0
0e2b1886c66746e098f5ab7713264612,0,0,0,58,0,15,0,0,1,2,0
2b729046ab7543e6ae9caf3597cc9a26,18,1,1,24,3,25,0,0,3,3,0
4622de6229ba41e493ee51dcaaa56cb7,23,0,1,8,5,24,0,0,5,6,0
c07588426e744bcc9a85ad1ff7e54e1e,2,1,0,49,0,14,0,0,0,1,5
e8c5ff0419db478694253c881ac1a1d1,12,3,2,9,1,24,0,2,0,8,1
81cf6221c0e24af4b7e8e62b0ae10b95,15,1,1,7,8,28,0,0,7,7,3
af42a3d6b2004cb482f59ff9537d2c71,1,0,0,43,0,20,0,0,1,4,0
c06d4ed93dfd4a2d93090d73c9decd84,23,0,0,0,6,0,0,0,2,7,0
729ad65643dd48e48854c52ad8582830,5,0,1,34,4,26,0,0,1,6,0
e9525e44daad42b995b8bc7756d898ed,6,1,0,8,3,12,0,0,0,6,0
a175d88588d94468be31fb7759ac35da,28,3,1,5,9,3,0,0,4,8,0
96696617f4b84aa6860979112b450b86,15,1,1,26,4,10,0,0,4,3,2
51f7490c46574c56a6e02edd4c3c11a0,21,0,0,1,5,0,0,0,2,6,0
60ba54e66c1148a18845c4165e69577c,9,0,1,38,1,28,1,0,2,1,0
17187392b7d948829af074234b3fa7b5,24,0,1,18,5,16,0,0,1,3,0
828b7ad1ef0e4bb3b52d9498986a8467,30,0,1,5,19,1,0,0,8,6,0
f076969e1c144afb87987cdc89163051,40,3,2,13,6,7,0,0,3,11,0
d8e05c0cbaae40a4be22d7220a88610d,15,4,1,0,8,11,0,0,4,6,0
8684d8bc021147f8b7c553350675ecf1,19,3,0,29,1,13,0,0,2,2,2
85e2eefb5cdf475f91dad0b6d4ee51a6,11,0,0,38,4,16,0,0,1,6,0
c5a389224e09431094b9a9a9bfd650ce,0,0,0,50,0,24,0,0,0,2,0
b4e134e6b5ae440e9729d809819b4489,4,0,0,47,0,13,0,0,0,2,0
8fd9e9283b9349509f8b2550a0de81bf,16,2,2,27,2,14,0,0,1,3,3
