,Buildings,Dynamic Cars,Dynamic Pedestrians,Inside Car,Nature,Roads,Static Cars,Static Pedestrians,Street Objects,Traffic Lights,Traffic Signs
4f583872ffed48249874b00f3d389cfc,18.413999999999998,1.221,1.617,1.881,3.5970000000000004,17.985,0.0,0.0,1.419,13.332,0.0
33d68ad55ef544fab9fd08108e3913ca,0.0,0.5940000000000001,0.33,28.677,0.297,29.996999999999996,0.0,0.0,0.363,4.62,0.0
8598a83e2af441b8bcd0ae5d84beb875,38.313,0.0,0.0,0.627,0.9240000000000002,0.0,0.0,0.0,0.363,9.207,0.0
37d7e67934974217830bb429bba7fd76,17.061000000000003,2.178,0.726,4.719,5.049,1.32,0.33,0.0,2.013,18.776999999999997,0.0
42bac596059749b5b8e8e83ae61de9b4,34.485,0.0,0.0,0.528,6.402000000000001,0.0,0.0,0.0,2.31,10.361999999999998,0.0
586c107173344c59aa4f71e3573233f0,29.205000000000002,0.0,0.0,6.9959999999999996,6.962999999999999,0.594,0.0,0.0,0.0,9.174000000000001,0.0
9cdd85098b0b4ad5ab2282a5ac371a5e,38.148,0.0,0.0,4.851,7.755000000000001,1.056,0.0,0.0,2.541,9.768,0.0
5cea15f12a31476ca95089cf4a435a6a,35.211,0.0,0.0,0.0,5.082,0.0,0.0,0.0,1.0230000000000001,8.943,0.0
ff846d92c7e6471183595bd2678f29f6,39.797999999999995,0.33,0.429,0.9900000000000001,6.171,1.056,0.0,0.0,2.904,8.283,0.0
14f9490a478e4a09b85b33c323515804,51.843,0.0,0.0,0.0,5.412,0.0,0.0,0.0,1.8150000000000002,12.903,0.0
008458d8209e4ba2bbfe7432f9417ec7,20.328000000000003,0.0,0.0,10.362,4.224,0.6930000000000001,0.627,0.0,1.551,6.732,0.429
75c5fb9b583c461a8e84e6d62cbab280,12.837,1.089,0.8580000000000001,18.513,3.333,16.665,0.0,0.0,0.528,6.699,0.5609999999999999
fd57e4f341a64e8ea0b5193923169ece,10.923,0.0,0.0,20.427,2.2439999999999998,12.639,0.0,0.0,1.782,4.6530000000000005,0.0
b28f765180294426997226c0ef936954,24.09,2.2110000000000003,0.0,5.2139999999999995,3.729,2.475,0.0,0.0,1.287,15.444000000000003,0.0
12288fb5ac564eca9367edae8bbe066f,25.773,0.0,0.561,2.805,3.8280000000000003,2.5740000000000003,0.0,0.0,0.462,8.118,0.0
1b9ddb310f6c40508da98f45915077a9,17.951999999999998,0.0,0.0,1.254,3.234,2.9370000000000003,0.0,0.0,1.7160000000000002,12.573,0.0
8ccf322ad1ba46da81457e8eabade2a0,26.037,0.0,0.0,6.534,1.749,0.0,0.0,0.0,0.0,7.194000000000001,0.0
b12bec2506254c57be19d7a62c9d886e,27.786000000000005,0.0,0.0,3.1350000000000007,6.27,2.607,0.0,0.0,3.8280000000000003,10.065000000000001,0.0
83f496a6e1374e07b2e5d411c313856e,16.038,0.0,0.825,0.0,0.0,64.251,0.0,0.0,0.0,2.64,0.0
7c3f6555e2144056a8bb7590bdc271fa,20.955,0.99,0.462,9.735,7.095,15.84,0.0,0.0,1.089,13.893,0.0
0f04f15432bb4504890662adf9e4f4d0,37.455,0.33,0.363,3.597,2.31,1.749,0.0,0.0,0.6930000000000001,12.342,0.0
fa1b985dd13347d4a37d6567a6a6798c,8.151,0.33,0.0,10.131,1.353,10.956,0.0,0.0,3.3,10.857,0.0
639b1a76dc004182b787898eac230e45,21.582,1.188,0.8580000000000001,5.3790000000000004,8.184000000000001,1.9140000000000001,0.0,0.0,4.422,15.048,0.0
16049a1fdd574377bbd9c7510ae19c13,34.155,0.0,0.0,8.217,7.755000000000001,1.089,0.0,0.0,2.574,14.058000000000002,0.0
c2bb7c37f7f942c68e886a8735bae97c,22.968,0.0,0.0,7.919999999999999,2.5740000000000003,4.323,0.264,0.0,2.145,6.435,0.0
f50bf9195655423bb0424565b9a55c93,38.577,0.0,0.0,2.739,6.633000000000001,0.0,0.0,0.0,1.881,11.715,0.0
567381bf521c4f61b2d50ace775f900f,15.312000000000001,0.0,1.254,16.698,3.3659999999999997,13.497000000000002,0.0,0.0,2.7390000000000003,6.996,0.0
ff377357d13f4923bb342a00536ae90c,27.753,0.0,0.0,5.643,6.864000000000001,3.333,0.0,0.0,1.221,6.897000000000001,0.0
0b6062063c264605b2fcc8deb209f18d,25.476000000000003,0.0,0.0,13.926,4.752,2.739,0.0,0.0,0.8580000000000001,7.194000000000001,0.0
30c621f451f642d1bfa3dd2ccd7ede49,33.066,0.0,0.0,2.7720000000000002,6.303000000000001,0.0,0.0,0.0,0.0,9.603,0.528
5e75d85f5d5b46f39776e61ad69de1e3,34.71600000000001,0.0,0.9239999999999999,8.052000000000001,5.214,1.947,0.0,0.0,2.145,13.497,0.0
90ef7c99a897434e96a56e42912a86a8,2.838,0.33,0.297,12.276,0.0,39.732,0.0,0.0,0.5609999999999999,10.164000000000001,0.0
58858d6b59044cc4b68b46c1cfb71da8,25.409999999999997,1.188,0.0,4.752000000000001,5.247,4.521,0.0,0.0,1.8810000000000002,9.9,0.0
b7440215a1954f798aa15292c552c0cc,28.479,2.574,1.188,2.2110000000000003,3.8939999999999997,2.244,0.0,0.0,1.221,17.193,0.297
cedcc36515ee436da5e9410ca04ac7db,45.242999999999995,0.0,0.462,0.0,6.600000000000001,0.0,0.0,0.0,2.838,15.411000000000001,0.0
7ab4c31b2ca542fab6c2d6171d3ae2bc,41.217,0.0,0.0,2.277,6.303000000000001,0.0,0.0,0.0,1.5180000000000002,10.362,0.0
f90a2258816e4e1d868436f29ce8f311,29.04,0.396,0.0,8.613,5.379,1.155,0.0,0.0,0.0,8.745,0.99
7a10f4f520c5468190f3b19b77b2034f,27.555,0.0,0.0,6.864000000000001,4.9830000000000005,0.264,0.0,0.0,0.33,8.976,0.0
2f316c49d3474f0ab724a1e43fe21bdf,31.284,1.155,0.363,4.9830000000000005,1.815,0.429,0.0,0.0,0.33,7.5569999999999995,0.0
38696a440c7240baad647472681b897d,30.624000000000002,0.0,0.0,6.567,3.4650000000000003,0.0,0.0,0.0,0.264,5.973000000000001,0.0
eecfe5daeb9c4be59e0eccebb4f8352e,18.314999999999998,1.287,0.396,2.706,5.181000000000001,2.7390000000000008,0.0,0.0,0.792,7.194,0.0
c997a243a7564834bd68a2bb54b3055d,17.589000000000002,0.33,0.0,13.167,5.478000000000001,7.986000000000001,0.0,0.0,0.627,7.392,0.0
364efc27b4764e42a802dc3ec5cca913,30.723,0.0,0.0,6.336,3.399,1.9140000000000001,0.0,0.0,1.8150000000000002,9.438000000000002,0.363
c63ed49c77d64acbb43a553c313d4f1d,46.958999999999996,0.0,0.33,0.0,7.194,0.0,0.0,0.0,1.1880000000000002,12.012,0.0
c4ae90ae44b842878633885c0db3a805,0.0,0.264,0.0,43.065,0.0,24.651,0.0,0.0,0.0,5.61,0.0
f1e8b6b1f0d646a6894b8cbabad60dca,39.138,0.0,0.0,3.0030000000000006,1.947,0.0,0.0,0.0,2.0130000000000003,11.385,0.0
ef8fd2c4d8114418bc2114044c69e3cf,9.437999999999999,0.0,0.0,9.338999999999999,0.0,32.900999999999996,0.0,0.0,0.792,10.296000000000001,0.0
1fb630b190a249b09a84b20b82e1e97f,13.497,2.838,2.178,17.49,0.495,16.995,0.0,0.0,0.594,5.214,0.858
5632dc407d39490f816f1017308ce1ee,32.43900000000001,0.0,0.0,13.827,2.409,2.5410000000000004,0.0,0.0,0.726,4.554,0.0
3ba0383801034d02b268f4fd80a50e25,2.2439999999999998,0.0,0.0,23.958,0.0,36.729,0.0,0.0,0.726,5.181000000000001,0.0
74d4555fc7204857b695b963bb022ec3,28.710000000000004,0.0,0.561,1.8810000000000002,10.725,3.597,0.0,0.429,3.531,11.385000000000002,0.0
b0fa51e40579484691ca6e0ece5eb702,8.283000000000001,0.0,0.0,17.985,3.828,17.094,0.0,0.0,0.528,5.841,0.0
83f78e11b2d34ec1adaffd7c56b8e24a,1.8810000000000002,0.0,0.0,28.083,1.419,10.131,0.0,0.0,2.541,5.708999999999999,0.297
9e1340fc23154438ac7f21291868982b,0.528,0.561,0.0,33.660000000000004,0.891,19.206000000000003,0.0,0.0,0.0,3.9600000000000004,0.0
112e2d5e60914aac90ef77a549fd688d,0.759,0.0,0.0,48.675,0.264,14.190000000000003,0.0,0.0,0.0,3.6300000000000003,0.0
0e2b1886c66746e098f5ab7713264612,0.0,0.0,0.0,44.22,0.0,12.54,0.0,0.0,0.33,3.696,0.0
2b729046ab7543e6ae9caf3597cc9a26,14.322000000000001,1.749,0.462,14.850000000000001,1.584,19.041,0.0,0.0,2.706,4.158,0.0
4622de6229ba41e493ee51dcaaa56cb7,19.074,0.0,0.297,3.894,2.244,17.523,0.0,0.0,2.475,8.91,0.0
c07588426e744bcc9a85ad1ff7e54e1e,0.9570000000000001,0.363,0.0,54.417,0.0,10.362,0.0,0.0,0.0,3.366,2.31
e8c5ff0419db478694253c881ac1a1d1,10.559999999999999,1.518,0.6599999999999999,4.0920000000000005,0.33,37.059,0.0,0.5940000000000001,0.0,9.636000000000001,0.264
81cf6221c0e24af4b7e8e62b0ae10b95,6.006,0.8580000000000001,0.495,3.3329999999999997,3.135,29.139000000000003,0.0,0.0,2.3430000000000004,9.701999999999998,0.99
af42a3d6b2004cb482f59ff9537d2c71,0.8250000000000001,0.0,0.0,34.947,0.0,22.968,0.0,0.0,0.5940000000000001,7.062,0.0
c06d4ed93dfd4a2d93090d73c9decd84,38.148,0.0,0.0,0.0,2.8710000000000004,0.0,0.0,0.0,0.792,9.735,0.0
729ad65643dd48e48854c52ad8582830,3.366,0.0,0.363,19.733999999999998,1.518,19.965,0.0,0.0,0.429,7.952999999999999,0.0
e9525e44daad42b995b8bc7756d898ed,8.876999999999999,0.528,0.0,36.300000000000004,1.287,19.602,0.0,0.0,0.0,10.758000000000001,0.0
a175d88588d94468be31fb7759ac35da,32.439,0.825,0.264,3.399,3.795,2.277,0.0,0.0,2.0460000000000003,10.23,0.0
96696617f4b84aa6860979112b450b86,12.441,0.264,0.462,26.103,1.7160000000000002,11.022000000000002,0.0,0.0,2.409,5.082,0.6599999999999999
51f7490c46574c56a6e02edd4c3c11a0,32.406,0.0,0.0,0.297,4.389,0.0,0.0,0.0,0.5609999999999999,9.338999999999999,0.0
60ba54e66c1148a18845c4165e69577c,7.4910000000000005,0.0,0.495,24.552000000000003,1.1880000000000002,16.467000000000002,0.528,0.0,0.5609999999999999,0.396,0.0
17187392b7d948829af074234b3fa7b5,17.457,0.0,0.528,11.319,2.607,12.045000000000002,0.0,0.0,0.33,8.151,0.0
828b7ad1ef0e4bb3b52d9498986a8467,30.129,0.0,0.396,2.6069999999999998,8.415,1.485,0.0,0.0,3.6300000000000003,13.86,0.0
