id,date,expo,side,condition
d2ae34df3118440cb66b5c27ade904f1,2019-05-09 19:34:00,MSW,right,TaxiDriver
b8d1f4aa336e433891d26271ee3f2e8f,2019-05-09 19:56:00,MSW,right,TaxiDriver
3622dbec36ac48bd9ad1159270e8d01f,2019-05-09 19:59:00,MSW,left,TaxiDriver
10c30561d9fb4f40bd4b95da3264f421,2019-05-09 19:59:00,MSW,right,TaxiDriver
1f55858f8a7d4d8da568cc93ee196f43,2019-05-09 20:48:00,MSW,right,AVAS
b53e20915934491ca3c08acd962a4072,2019-05-10 10:55:00,MSW,right,AVAS
bc3ff70bbc5c4aaaacb5b2ea6af023b2,2019-05-10 11:01:00,MSW,left,AVAS
44fb2480fb72402badd9237c9b3c1f7f,2019-05-10 11:02:00,MSW,right,RadioTalk
6d0ade1c8f6e4dce9211610897ad8abb,2019-05-10 13:04:00,MSW,left,TaxiDriver
7a4e0baf1cea422aadf9add6d8c2ac0e,2019-05-10 13:24:00,MSW,left,AVAS
cdc58329e7ca4cdba70ef85dd86b7085,2019-05-10 13:32:00,MSW,left,TaxiDriver
fe582a3fdbae45ce8daadfd2215ce3f1,2019-05-10 13:33:00,MSW,right,RadioTalk
c4904237f0964a0cb3cd22941155fe72,2019-05-10 13:41:00,MSW,right,TaxiDriver
c31505b97a764705abc8a4540dd9fade,2019-05-10 13:47:00,MSW,left,AVAS
fbd452b7a0684793a7485e6127b6e7d2,2019-05-10 13:57:00,MSW,left,RadioTalk
c885a0afcecc47c6a6484e7d2412356f,2019-05-10 13:57:00,MSW,right,TaxiDriver
21ab9a17fbb14fdf89d7311b88662de8,2019-05-10 14:11:00,MSW,right,RadioTalk
38a95037a61f4da4b5005161ae76c1dd,2019-05-10 14:32:00,MSW,right,AVAS
f54dd1f1e49345f681a61dc6a4a3af08,2019-05-10 14:32:00,MSW,left,AVAS
ea44a20ac5614110928a81dc174eb79a,2019-05-10 14:43:00,MSW,right,RadioTalk
94a5956c17634b5db5f985344d6165e6,2019-05-10 14:52:00,MSW,left,AVAS
233c6dfa5aa74fc5bb178300b8f68230,2019-05-10 14:56:00,MSW,left,RadioTalk
2ab3a66c142049c9ae09769c44f89af9,2019-05-13 14:14:00,MSW,left,RadioTalk
4f583872ffed48249874b00f3d389cfc,2019-05-14 13:21:00,MSW,right,TaxiDriver
33d68ad55ef544fab9fd08108e3913ca,2019-05-14 16:44:00,MSW,right,AVAS
8598a83e2af441b8bcd0ae5d84beb875,2019-05-14 16:51:00,MSW,right,RadioTalk
37d7e67934974217830bb429bba7fd76,2019-05-14 16:54:00,MSW,left,AVAS
42bac596059749b5b8e8e83ae61de9b4,2019-05-14 16:56:00,MSW,right,TaxiDriver
586c107173344c59aa4f71e3573233f0,2019-05-14 16:57:00,MSW,left,AVAS
9cdd85098b0b4ad5ab2282a5ac371a5e,2019-05-14 16:59:00,MSW,right,AVAS
5cea15f12a31476ca95089cf4a435a6a,2019-05-14 17:01:00,MSW,left,TaxiDriver
ff846d92c7e6471183595bd2678f29f6,2019-05-14 17:37:00,MSW,right,AVAS
14f9490a478e4a09b85b33c323515804,2019-05-14 17:48:00,MSW,right,TaxiDriver
008458d8209e4ba2bbfe7432f9417ec7,2019-05-14 18:28:00,MSW,left,TaxiDriver
75c5fb9b583c461a8e84e6d62cbab280,2019-05-14 18:33:00,MSW,right,RadioTalk
fd57e4f341a64e8ea0b5193923169ece,2019-05-14 18:33:00,MSW,left,RadioTalk
b28f765180294426997226c0ef936954,2019-05-14 18:38:00,MSW,right,TaxiDriver
12288fb5ac564eca9367edae8bbe066f,2019-05-14 18:46:00,MSW,left,RadioTalk
1b9ddb310f6c40508da98f45915077a9,2019-05-14 18:52:00,MSW,left,AVAS
8ccf322ad1ba46da81457e8eabade2a0,2019-05-14 18:53:00,MSW,right,TaxiDriver
b12bec2506254c57be19d7a62c9d886e,2019-05-14 18:57:00,MSW,right,RadioTalk
83f496a6e1374e07b2e5d411c313856e,2019-05-14 19:03:00,MSW,left,AVAS
7c3f6555e2144056a8bb7590bdc271fa,2019-05-14 19:05:00,MSW,left,RadioTalk
0f04f15432bb4504890662adf9e4f4d0,2019-05-14 19:09:00,MSW,right,AVAS
fa1b985dd13347d4a37d6567a6a6798c,2019-05-14 19:09:00,MSW,left,RadioTalk
639b1a76dc004182b787898eac230e45,2019-05-14 19:12:00,MSW,right,RadioTalk
16049a1fdd574377bbd9c7510ae19c13,2019-05-14 19:15:00,MSW,right,TaxiDriver
c2bb7c37f7f942c68e886a8735bae97c,2019-05-14 19:16:00,MSW,left,AVAS
f50bf9195655423bb0424565b9a55c93,2019-05-14 19:37:00,MSW,right,TaxiDriver
567381bf521c4f61b2d50ace775f900f,2019-05-14 19:37:00,MSW,left,TaxiDriver
0b6062063c264605b2fcc8deb209f18d,2019-05-14 19:50:00,MSW,left,RadioTalk
ff377357d13f4923bb342a00536ae90c,2019-05-14 19:50:00,MSW,right,RadioTalk
30c621f451f642d1bfa3dd2ccd7ede49,2019-05-14 19:53:00,MSW,right,TaxiDriver
5e75d85f5d5b46f39776e61ad69de1e3,2019-05-14 19:53:00,MSW,left,RadioTalk
90ef7c99a897434e96a56e42912a86a8,2019-05-14 19:56:00,MSW,right,TaxiDriver
